2015-01-09;12:45:46;92.102;12.25;1.82
2015-01-09;12:50:45;89.685;12.18;1.39
2015-01-09;12:55:46;93.07;9.96;1.69
2015-01-09;13:00:50;111.711;13.86;1.06
2015-01-09;13:05:50;258.413;11.10;1.60
2015-01-09;13:10:57;70.035;11.06;1.36
2015-01-09;13:15:41;62.673;9.97;1.72
2015-01-09;13:20:47;59.599;11.25;1.30
2015-01-09;13:25:46;59.19;13.34;1.49
2015-01-09;13:30:47;99.782;11.38;1.51
2015-01-09;13:35:47;106.924;12.47;1.85
2015-01-09;13:40:41;90.449;10.28;1.40
2015-01-09;13:45:46;111.422;10.31;1.46
2015-01-09;13:50:43;88.514;11.53;1.46
2015-01-09;13:55:50;99.189;10.38;1.85
2015-01-09;14:00:42;103.126;15.32;1.55
2015-01-09;14:05:47;81.675;11.71;1.24
2015-01-09;14:10:40;91.582;10.67;1.51
2015-01-09;14:15:42;83.959;12.52;1.64
2015-01-09;14:20:44;249.442;11.31;1.51
2015-01-09;14:25:45;106.923;11.03;1.55
2015-01-09;14:30:45;87.36;10.25;1.29
2015-01-09;14:35:46;87.517;11.01;1.65
2015-01-09;14:40:49;90.803;10.54;1.66
2015-01-09;14:45:40;102.838;9.51;1.73
2015-01-09;14:50:44;112.96;11.56;1.47
2015-01-09;14:55:46;95.361;11.43;1.42
2015-01-09;15:00:48;115.084;13.83;1.06
2015-01-09;15:05:39;97.711;12.66;1.47
2015-01-09;15:10:46;88.269;10.65;1.44
2015-01-09;15:15:45;94.988;9.97;1.77
2015-01-09;15:20:44;89.868;12.53;1.43
2015-01-09;15:25:36;95.703;15.86;1.11
2015-01-09;15:30:45;101.163;12.09;1.63
2015-01-09;15:35:47;112.77;10.23;1.73
2015-01-09;15:40:44;102.049;9.87;1.46
2015-01-09;15:45:44;115.064;12.77;1.59
2015-01-09;15:50:34;87.446;15.11;2.16
2015-01-09;15:55:47;68.747;10.63;1.72
2015-01-09;16:00:37;106.431;8.05;1.38
2015-01-09;16:05:53;104.682;17.67;1.23
2015-01-09;16:10:50;89.618;9.23;1.61
2015-01-09;16:15:38;105.654;9.08;1.58
2015-01-09;16:20:45;96.994;13.71;0.96
2015-01-09;16:25:48;73.31;10.39;1.63
2015-01-09;16:30:47;101.429;11.40;1.63
2015-01-09;16:35:34;79.594;14.51;1.40
2015-01-09;16:40:40;102.132;15.28;1.87
2015-01-09;16:45:45;82.723;8.35;1.79
2015-01-09;16:50:42;90.178;10.74;1.42
2015-01-09;16:55:49;167.284;10.22;1.84
2015-01-09;17:00:46;115.744;12.87;1.20
2015-01-09;17:05:45;68.558;11.08;1.70
2015-01-09;17:10:43;103.405;9.96;1.62
2015-01-09;17:15:42;96.288;10.99;1.39
2015-01-09;17:20:43;93.334;10.69;1.59
2015-01-09;17:25:49;83.063;11.17;1.60
2015-01-09;17:30:47;116.769;12.84;1.78
2015-01-09;17:35:38;76.158;15.01;1.62
2015-01-09;17:40:41;101.416;11.06;1.46
2015-01-09;17:45:45;75.358;11.28;1.76
2015-01-09;17:50:42;68.995;13.19;1.86
2015-01-09;17:55:44;95.594;10.81;1.32
2015-01-09;18:00:42;89.964;14.48;1.36
2015-01-09;18:05:47;79.902;9.46;1.71
2015-01-09;18:10:47;14.718;17.27;1.09
2015-01-09;18:15:41;103.35;8.30;1.46
2015-01-09;18:20:49;91.815;11.96;1.31
2015-01-09;18:25:44;109.565;12.27;1.49
2015-01-09;18:30:49;117.196;12.05;1.75
2015-01-09;18:35:40;108.308;12.90;1.51
2015-01-09;18:40:37;107.603;17.85;1.31
2015-01-09;18:45:44;82.957;11.92;1.72
2015-01-09;18:50:45;74.658;11.77;1.73
2015-01-09;18:55:43;90.715;10.83;1.55
2015-01-09;19:00:41;112.744;10.25;1.77
2015-01-09;19:05:34;102.642;14.61;1.44
2015-01-09;19:10:45;86.502;10.99;1.64
2015-01-09;19:15:44;82.959;10.68;1.64
2015-01-09;19:20:45;89.757;12.26;1.54
2015-01-09;19:25:41;82.77;10.64;1.50
2015-01-09;19:30:48;95.662;12.31;1.74
2015-01-09;19:35:40;116.878;9.85;1.35
2015-01-09;19:40:44;69.533;10.74;1.22
2015-01-09;19:45:49;84.776;9.79;1.85
2015-01-09;19:50:50;87.334;10.03;1.68
